gene,logFC,avg_expr,pvalue,padj,neg_log10_p,significant
KRT80,3.1254416,1.6830616,4.8738631546629824e-247,2.4369315773314913e-243,246.3121266688339,True
ESM1,1.7709942,0.9559382,3.624888723406379e-206,9.062221808515947e-203,205.44070532083157,True
FOXQ1,4.04512,2.4449966,3.865254892495891e-180,6.442091487493151e-177,179.412821861447,True
CPNE7,2.8371904,1.6871451,3.186545466908801e-174,3.983181833636001e-171,173.49667988045204,True
WNT2,1.5317864,0.83431375,2.4328573823221233e-168,2.432857382322123e-165,167.61388334930425,True
SIM2,1.2080622,0.61151874,1.9602420451038452e-160,1.6335350375865377e-157,159.707690299887,True
EPHX4,1.876059,1.136569,2.8021142394851933e-157,2.0015101710608524e-154,156.55251416292367,True
CST1,3.6477854,1.9542748,4.836137896425285e-149,3.0225861852658033e-146,148.31550132427057,True
INHBA,2.102759,1.2146709,1.0551364536847623e-147,5.861869187137568e-145,146.97669137235658,True
GRIN2D,2.7017493,1.7035306,1.9134536067866207e-144,9.567268033933102e-142,143.71818206312895,True
MSX2,2.331479,1.4748611,5.094987920244769e-137,2.315903600111259e-134,136.29285684132924,True
PLEKHN1,1.0333358,0.6861523,3.083084782111802e-134,1.284618659213251e-131,133.51101453239414,True
BLACAT1,1.1113843,0.6128158,1.1152054386252625e-132,4.28925168702024e-130,131.95264512127693,True
ELFN1-AS1,2.6319895,1.6716831,6.127655921741069e-129,2.1884485434789534e-126,128.21270562906156,True
CEMIP,3.4893723,2.3212886,3.019643303573769e-127,1.006547767857923e-124,126.52004435520138,True
PCAT2,1.1822474,0.670508,1.2362410031033012e-126,3.863253134697816e-124,125.90789685601503,True
BBOX1-AS1,1.3828808,0.79298,1.1640534173056446e-123,3.42368652148719e-121,122.93402708986758,True
CCNP,1.5061857,0.89027745,4.035668812700902e-120,1.1210191146391394e-117,119.3940844813643,True
COL11A1,1.9098454,1.0272541,5.21846928486595e-120,1.3732813907541973e-117,119.28245686838193,True
EVA1A,1.7175153,1.1900613,2.257937051354151e-117,5.644842628385378e-115,116.64628816986482,True
LINC02418,1.8840008,0.95303786,1.1165292498057778e-116,2.6584029757280426e-114,115.95212989519635,True
SMKR1,1.239277,0.7751706,2.2806303759031984e-115,5.1832508543254514e-113,114.64194509557088,True
CBX2,1.5624311,1.0962081,1.3782117876273915e-114,2.996112581798677e-112,113.86068403995344,True
MMP11,3.1336548,2.9665604,4.711476209805201e-113,9.815575437094169e-111,112.326842997473,True
HAGHL,1.2998979,0.8948786,6.331218864285562e-113,1.2662437728571125e-110,112.19851267306697,True
PRR7,2.0356324,1.6751462,2.4191224348629277e-112,4.652158528582553e-110,111.61634215088584,True
SALL4,0.93760467,0.52327317,9.994896697797032e-112,1.8509067958883394e-109,111.00022169017103,False
NKD2,2.3093452,1.6905596,1.0548373553144002e-111,1.8836381344900003e-109,110.97681449878792,True
EPOP,1.9503968,1.4205414,5.144918282684692e-110,8.870548763249469e-108,109.28862151879483,True
TESC,3.2220125,2.7914462,1.0207643252427005e-109,1.701273875404501e-107,108.99107451654315,True
KRT23,2.8408358,1.5757872,1.2353707544791188e-109,1.992533474966321e-107,108.90820268413697,True
SLC4A11,1.242562,0.7974963,1.849116545673543e-108,2.889244602614911e-106,107.73303571536987,True
COL10A1,2.1841407,1.1349902,3.2415631367761225e-107,4.91145929814564e-105,106.48924551511108,True
FAM222A-AS1,0.84770393,0.5394661,2.2002173608623154e-106,3.235613765973993e-104,105.6575344128323,False
MAPK15,1.2783489,0.7835243,3.7368985655628943e-106,5.338426522232707e-104,105.42748869048704,True
FUT1,1.2735696,1.01946,1.5744223812838372e-105,2.186697751783107e-103,104.80287874513289,True
MMP7,3.6705132,2.0588353,1.9869904932785713e-105,2.6851222882142853e-103,104.7018042107596,True
GRHL3,0.9896319,0.6342219,1.2782690744895669e-104,1.68193299274943e-102,103.89337771795698,False
PRR36,1.1521224,0.721695,7.998922526257403e-104,1.0255028879817184e-101,103.09696850956003,True
ENSG00000236452,1.2119017,0.638036,1.4442232038318346e-102,1.8052790047897932e-100,101.8403656816269,True
LINC00659,1.1222618,0.5909301,2.94695977404587e-102,3.5938533829827684e-100,101.5306257922224,True
S100A2,1.9005811,1.3853804,1.130591744235192e-100,1.3459425526609427e-98,99.94669419015327,True
PDX1,2.5063179,1.5958303,6.467191907968364e-100,7.519990590660889e-98,99.18928425157259,True
POU5F1B,0.9576448,0.5508885,1.1095200110069644e-98,1.260818194326096e-96,97.9548648605419,False
SHISA2,0.8732646,0.6245786,2.520333890475246e-97,2.8003709894169403e-95,96.59854192065283,False
KLK10,2.103106,1.3558178,3.598064910391295e-97,3.9109401199905384e-95,96.4439310060904,True
KLK6,2.0946503,1.0627112,4.3569629505520434e-97,4.635066968672386e-95,96.36081613307302,True
EMSLR,0.73425496,0.5250189,6.93216902294805e-97,7.221009398904218e-95,96.15913085668537,False
SNTB1-AS1,1.041928,0.7795268,2.8383563275344727e-96,2.896281966871911e-94,95.54693308408368,True
LARGE2,2.8447769,2.108315,1.0711679366768041e-94,1.0711679366768042e-92,93.97014243555985,True
LEMD1,1.5087317,0.7920099,1.3828902045206886e-93,1.3557747103144007e-91,92.85921229961859,True
CELSR3,1.0489745,0.8687943,3.284149388946636e-92,3.157835950910227e-90,91.48357709597417,True
CST2,1.2739751,0.6838057,6.16378757723898e-91,5.8148939407914904e-89,90.210152336797,True
LINC02253,1.0193912,0.5469546,1.2324290027248434e-90,1.1411379654859662e-88,89.90923808999227,True
NOTUM,2.629328,1.3679625,1.9747217359690957e-88,1.7952015781537234e-86,87.7044940934792,True
MILIP,1.5767169,1.2634745,1.0748233706744658e-87,9.596637238164873e-86,86.9686628989521,True
CA9,2.9761813,2.1447802,2.3363169551023583e-87,2.0494008378090862e-85,86.63146823925042,True
EGFL6,1.0428079,0.6950982,2.6293807860152414e-87,2.2667075741510703e-85,86.5801465149625,True
ETV4,4.109767,2.8683863,3.587166389426085e-87,3.0399715164627846e-85,86.44524847826308,True
SLCO4A1-AS1,1.5793808,1.1906887,6.889981001105081e-87,5.741650834254234e-85,86.16178197564341,True
ANOS1,0.887388,0.65732586,7.451087900252264e-87,6.107449098567429e-85,86.12778031321369,False
TFR2,0.76844686,0.5899837,1.4993741916639528e-86,1.209172735212865e-84,85.82408996882297,False
ADAMTS12,1.362997,0.960793,3.812463870930045e-86,3.025764976928607e-84,85.41879426324648,True
FEZF1-AS1,1.0588284,0.5327531,4.7455310021089054e-86,3.7074460953975825e-84,85.32371518505268,True
ULBP2,1.039751,0.63751495,9.827502127480442e-86,7.559617021138801e-84,85.00755685349078,True
CDH3,3.729882,2.172939,2.4107585331355303e-85,1.8263322220723715e-83,84.61784628733243,True
RNF183,1.0384907,0.73429316,5.562519844980244e-85,4.151134212671823e-83,84.25472842660876,True
GJB4,1.1021173,0.6837493,1.697113830897423e-84,1.2478778168363405e-82,83.77028902717397,True
TLX1,1.0172514,0.6276379,3.4822621150538964e-84,2.523378344241954e-82,83.45813854199606,True
MSX1,1.4903141,1.1562506,5.609746923681991e-84,4.006962088344279e-82,83.25105673092344,True
ENSG00000261650,0.91079146,0.4598867,1.4832801303583197e-83,1.0445634720833239e-81,82.82877682093391,False
RPS10,1.3346987,0.9898846,2.5610382232262604e-83,1.7784987661293476e-81,82.59158393968372,True
TRIM29,2.4813275,1.7554903,3.2294429154537316e-83,2.21194720236557e-81,82.49087238776507,True
LINC01978,0.8756714,0.5660573,3.36003548595317e-83,2.2702942472656554e-81,82.47365613592198,False
LINC01605,1.0073346,0.74040276,1.248064487781354e-82,8.320429918542361e-81,81.9037629739773,True
SPTBN2,1.7493043,1.3939431,4.639616347438247e-82,3.052379175946215e-80,81.33351793002254,True
ADAM12,1.270322,0.8222825,2.9675668812934137e-81,1.9269914813593594e-79,80.52759948438707,True
STRA6,1.0426843,0.5687163,1.029082263882389e-80,6.596681178733264e-79,79.9875499067515,True
COMP,1.8702412,1.0827963,1.9569429743004002e-80,1.2385715027217723e-78,79.70842182958344,True
TACSTD2,2.5470734,2.135129,2.1656442488243966e-80,1.353527655515248e-78,79.66441288356562,True
TNFSF9,1.718194,1.4427137,1.3107568712025753e-79,8.09109179754676e-78,78.88247785696534,True
LRRC36,0.71481353,0.49364623,4.8188035466955784e-79,2.9382948455460845e-77,78.31706077868431,False
FJX1,1.2675211,0.99743736,5.3393957835770274e-79,3.2165034840825466e-77,78.27250788580011,True
SFTA2,1.2519535,0.6473041,6.709910566937481e-78,3.993994385081834e-76,77.1732832682877,True
CLDN1,3.7021964,2.8154192,1.462581306491741e-77,8.603419449951417e-76,76.83487998167026,True
GOLGA7B,0.8226906,0.72139496,4.005745856155599e-77,2.3021527908940224e-75,76.39731660790576,False
CIMIP2C,1.3123891,0.9236437,3.9756461831724796e-77,2.3021527908940224e-75,76.40059227305068,True
ENSG00000258919,1.2402328,0.8858165,5.146677073512879e-77,2.9242483372232266e-75,76.28847308055325,True
VWA2,2.3934379,1.7958384,2.563695263120977e-76,1.4402782377084143e-74,75.59113359904806,True
XKRX,1.0343213,0.9862646,3.9593804740483814e-76,2.1996558189157673e-74,75.40237276300145,True
MEX3A,1.2692573,1.074532,5.057501856787513e-76,2.778847174059073e-74,75.2960639491123,True
IL23A,1.1742222,1.0450879,5.218470755264051e-76,2.8361254104695928e-74,75.28245674601163,True
HS6ST2,1.416738,1.0818014,1.3150100966613598e-75,7.06994675624387e-74,74.88107091264382,True
ENSG00000275216,1.116269,0.60457903,3.614191936061687e-75,1.9224425191817484e-73,74.4419887874256,True
GDPD5,1.409592,1.3787959,4.390029202235569e-75,2.3105416853871415e-73,74.35753259084498,True
GAS6-AS1,1.1501944,0.8035828,8.929427475002092e-75,4.65074347656359e-73,74.04917638572716,True
COL7A1,1.4580345,1.2018455,2.451302585822259e-74,1.2635580339289994e-72,73.6106030766541,True
NME2,1.2288208,0.9252347,2.7076276351491207e-74,1.3814426709944493e-72,73.567411061966,True
TG,0.77190953,0.45919386,9.310599174046003e-74,4.655299587023002e-72,73.03102236954405,False
CTHRC1,2.6430407,2.4987915,9.250756238835974e-74,4.655299587023002e-72,73.03382276272814,True
TCN1,2.2106516,1.2496022,1.2440895619945437e-73,6.158859217794772e-72,72.90514835366456,True
RHPN1,2.0792491,1.8193859,1.3162720497082994e-72,6.45231396915833e-71,71.88065434060309,True
IL11,1.0654622,0.6408302,1.6850773405740033e-72,8.179987090165065e-71,71.77338016137206,True
SAXO5,0.7968432,0.6600006,5.645640637860479e-72,2.7142503066636917e-70,71.24828676946952,False
LRP11-AS1,1.0457468,0.59315133,1.0757756479328892e-70,5.122741180632806e-69,69.96827829095962,True
ENSG00000225680,0.7978845,0.5027359,2.0596621407086114e-70,9.715387456172694e-69,69.68620401383464,False
VPS35L,-1.0987836,2.2807333,2.8011967456530398e-70,1.308970441893944e-68,69.55265638687415,True
ASPHD1,1.3493947,1.4931369,3.981981744166777e-70,1.8435100667438781e-68,69.39990073537486,True
PKP1,1.0553969,0.7157244,3.8431723141872955e-69,1.762923079902429e-67,68.4153101428781,True
TSPOAP1-AS1,0.9459549,1.0364883,1.0593960845239677e-68,4.772054434792647e-67,67.97494163652858,False
OLR1,1.0598104,0.737203,1.0511118086578498e-68,4.772054434792647e-67,67.97835108482766,True
SLC39A10,1.4576697,2.096011,1.817917624563402e-68,8.115703681086617e-67,67.74042579988638,True
ENSG00000260877,1.3184749,0.89348906,3.8200201826534075e-68,1.6902744171032775e-66,67.41793434253545,True
ATP6V1C2,1.0470991,0.90405977,1.3039687146604398e-67,5.719161029212455e-66,66.88473282824621,True
CEL,2.2913494,1.458199,1.3612625126779142e-67,5.918532663817018e-66,66.86605811519797,True
TMT1A,-2.529725,4.6472697,1.8277541014781407e-67,7.87825043740578e-66,66.73808223286615,True
CNPY2,0.8522463,1.0449653,3.864227877898169e-67,1.6513794349992177e-65,66.41293727066348,False
SLC35D3,1.232732,0.8021691,4.1042529555671455e-67,1.7390902354098072e-65,66.38676588039587,True
IQANK1,2.026133,2.0456066,2.835332996465849e-66,1.1913163850696844e-64,65.54739592794043,True
ENSG00000230234,1.0526376,0.55807567,1.7039283440609931e-65,7.099701433587471e-64,64.76854867273437,True
TMPRSS3,1.2321504,1.1097006,1.8557469311773788e-65,7.668375748666854e-64,64.73148124896136,True
ZFAS1,1.5320425,1.7603469,6.482930368953846e-65,2.656938675800756e-63,64.1882286429878,True
ENSG00000253414,1.6939194,1.3411776,1.4838924688863256e-64,6.032083206854982e-63,63.828597569313956,True
LINC03040,2.5845163,1.5614287,1.0866842300967684e-63,4.381791250390195e-62,62.96389663535191,True
PPM1H,1.7159947,2.1021333,1.3288403037354938e-63,5.315361214941975e-62,62.8765272082023,True
TMPRSS13,1.0994365,0.8289918,3.1931167728112674e-63,1.2671098304806617e-61,62.49578519894873,True
DUSP4,1.735231,1.593302,3.385894823827907e-63,1.3330294581999634e-61,62.47032653652259,True
NANOS3,1.0581348,0.7232771,1.1263669276343582e-62,4.3998708110717115e-61,61.94832010976159,True
LINC02320,0.8664424,0.6233561,1.5369022246120103e-62,5.956985366713219e-61,61.813353760777524,False
SNHG25,2.1764784,1.7060239,3.3244538013827315e-62,1.2786360774548967e-60,61.47827969788899,True
KIF26B,0.80421644,0.54584754,4.179387582552791e-62,1.595186100210989e-60,61.378887351957886,False
TMEM132A,1.728274,1.8366497,5.08298500943157e-62,1.9253731096331708e-60,61.293881171102086,True
CADPS,0.7967633,0.8203561,7.267210674449605e-62,2.732034088138949e-60,61.13863224954601,False
SLCO4A1,2.773488,2.6891994,2.3412894450610274e-61,8.736154645750102e-60,60.63054489274408,True
CEP72,1.2354686,1.4511453,4.259721111571811e-61,1.5776744857673375e-59,60.37061883368373,True
CDKN2A,0.9528315,0.7862296,4.679633862295045e-61,1.7204536258437665e-59,60.3297881250894,False
MIR17HG,0.7362324,0.58362967,1.7429601481012074e-60,6.361168423727035e-59,59.7587125426993,False
TRIB3,3.162488,3.1208773,2.681216528466834e-60,9.714552639372587e-59,59.57166811204431,True
ALKAL1,1.0343413,0.6918324,4.8399444318176356e-60,1.740987205689797e-58,59.31515962453193,True
LINC03131,1.3469524,0.68621445,7.437027464838192e-60,2.6560812374422113e-58,59.12860061466612,True
LY6G6D,1.1504222,0.58365756,3.6106167111867435e-59,1.2803605358818237e-57,58.44241861211364,True
ENSG00000286403,0.9698384,0.5520525,5.762002825809169e-59,2.028874234439848e-57,58.23942653306827,False
SNTB1,1.7328041,2.294135,9.262599159252825e-59,3.238671034703785e-57,58.0332671297186,True
AMH,0.8524436,0.53605473,1.0983353342893437e-58,3.8136643551713327e-57,57.95926504458779,False
SMOX,1.7665951,2.336556,1.2057101570493174e-58,4.140171972011319e-57,57.91875708052324,True
UCHL3,0.9415624,1.2119638,1.2089302158273052e-58,4.140171972011319e-57,57.91759876758904,False
TGFBI,2.8817139,5.2724123,4.0666409877229874e-58,1.3832112203139414e-56,57.39076416640362,True
OTUB2,0.86257136,0.9824396,5.3879333329139535e-58,1.8202477476060654e-56,57.268577786617705,False
MDFI,2.142249,1.6280863,7.178909930874413e-58,2.409030178145776e-56,57.14394149544383,True
ENSG00000262979,0.9354241,0.63143814,1.201832354227719e-57,4.00610784742573e-56,56.92015610863246,False
MOCS3,0.7201352,2.1006978,1.521059389867671e-57,5.036620496250566e-56,56.81785382855827,False
APLN,1.5075196,1.1645174,5.268622485683863e-57,1.7330995018696916e-55,56.27830291895579,True
RELL2,0.74681664,0.74059,1.2197704130681908e-56,3.9861778204842834e-55,55.913721905161836,False
FBXO41,1.1606166,1.3332335,1.8193068348554712e-56,5.906840372907374e-55,55.74009404890421,True
TOMM5,0.7734964,0.86484945,1.103137943591997e-55,3.5585094954580545e-54,54.95737017713822,False
SP5,1.9447203,1.5832722,1.4286818354346592e-55,4.5791084469059586e-54,54.84506447694717,True
BMP7,1.645967,1.6578953,1.4981166320258397e-55,4.771072076515413e-54,54.82445437443798,True
RAE1,1.17977,3.098255,1.6562614088395215e-55,5.241333572276966e-54,54.78087111715445,True
SLC7A11,1.2727838,1.1043197,4.870322707639602e-55,1.531548021270315e-53,54.31244226147451,True
VPS9D1-AS1,1.6687636,1.6907227,1.0604834455050993e-54,3.314010767203435e-53,53.97449610657401,True
NAA10,1.2116725,2.5076823,1.444404533909123e-54,4.485728366177401e-53,53.840311157015755,True
FGFRL1,1.7819004,3.3052688,1.5224876258970588e-54,4.699035882398329e-53,53.817446228433326,True
ENSG00000269978,0.6566764,0.386517,4.872588332168097e-54,1.4946589975975756e-52,53.312240279080434,False
ENSG00000265519,-1.6735244,2.4043524,6.917587429856053e-54,2.109020557882943e-52,53.160045343200515,True
LOC124900418,1.2961506,0.90861124,9.407286209895961e-54,2.850692790877564e-52,53.02653564267778,True
C2CD4A,2.2852533,1.5877055,1.051324597678625e-53,3.1666403544536892e-52,52.97826317434669,True
VMA21,0.97959113,3.0159721,1.4584040124478506e-53,4.366479079185181e-52,52.83612214949463,False
CYP4X1,1.2366723,1.3091238,3.272095014577633e-53,9.738378019576288e-52,52.48517409384312,True
KLK7,1.0596195,0.54073733,6.054907639336026e-53,1.7913927927029664e-51,52.21789247713408,True
NELFCD,1.2760437,4.0101933,8.259547161745002e-53,2.429278576983824e-51,52.083043762673135,True
LHFPL7,1.3231483,0.99813056,8.455862711869637e-53,2.4724744771548646e-51,52.072842076784056,True
TRPM2-AS,1.191539,0.87051916,1.3947172707554006e-52,4.054410670800583e-51,51.855513821204276,True
PID1,-1.7174959,3.3477802,2.306656428416671e-52,6.66663707634876e-51,51.63701708790395,True
ENSG00000250568,1.0465331,0.72075653,4.382119239575611e-52,1.2592296665447156e-50,51.35831580925246,True
GATA2-AS1,1.0070837,0.8513255,7.867685035848647e-52,2.2479100102424703e-50,51.10415303435652,True
DKK4,1.2404599,0.6449503,8.77381609367143e-52,2.4925613902475654e-50,51.056811473001595,True
CYCSP6,1.1093405,0.7344181,1.4060321014747976e-51,3.971842094561575e-50,50.85200476371576,True
TOMM34,1.6605775,4.786783,2.5504756400014006e-51,7.164257415734272e-50,50.59337882012868,True
ENSG00000238279,1.3424634,1.535505,3.307797758548061e-51,9.239658543430338e-50,50.48046105142651,True
LPAR1,-1.7587869,2.4114714,4.919994928277112e-51,1.3666652578547533e-49,50.30803534492012,True
BMAL2,1.4765571,1.5304797,5.250072393578364e-51,1.45029624131999e-49,50.279834708038834,True
GPSM2,0.8980372,1.5689515,8.90828884982526e-51,2.447332101600346e-49,50.050205709481354,False
ENSG00000240652,1.2652221,0.9622228,9.960020742277198e-51,2.721317142698688e-49,50.00173975713382,True
DLGAP1-AS2,1.2994995,1.4227421,2.8014291758973555e-50,7.61257928232977e-49,49.55262035263806,True
MRGBP,1.4868023,3.3317313,3.9070935543151523e-50,1.055971230895987e-48,49.40814618958495,True
ASB9,1.2145343,1.4939308,5.484608314484345e-50,1.4743570737861145e-48,49.26085438229749,True
CGREF1,2.1779804,1.6696119,6.086096807783403e-50,1.618642768027501e-48,49.215661143868786,True
KRT17,2.0532243,1.3322424,6.063368581146744e-50,1.618642768027501e-48,49.217286030991026,True
LZTS3,1.5221099,2.1851618,1.2391759522259522e-49,3.278243259857016e-48,48.90686702319987,True
MELTF-AS1,0.93428826,0.868634,2.1214136243900233e-49,5.582667432605325e-48,48.67337464629871,False
STC2,1.7696484,1.2878276,2.7008967011810724e-49,7.070410212515896e-48,48.568492025573725,True
MEIS3P1,-1.460168,1.8395095,2.75957506069494e-49,7.186393387226406e-48,48.55915778858829,True
EPB41L3,-2.090352,2.1270123,3.5815168856010316e-49,9.278541154406817e-48,48.44593299695376,True
PABPC1L,1.7634304,1.6403524,5.450119988906433e-49,1.4046701002336167e-47,48.263593936265316,True
RPL27P4,1.7161748,1.2964758,6.5185701991873295e-49,1.6714282562018793e-47,48.185847653148315,True
SH3PXD2A-AS1,1.0972319,0.9053123,1.3341263013050026e-48,3.403383421696435e-47,47.874803053955205,True
ASCL2,3.0791647,3.877738,1.56069234733605e-48,3.9611480896854064e-47,47.80668269913015,True
ENSG00000263325,0.76998615,0.538846,1.6110463490097938e-48,4.068298861135843e-47,47.792891964962756,False
SIGMAR1,1.1830134,5.565324,1.879682813966062e-48,4.722821140618245e-47,47.725915429335295,True
EXOSC4,1.3007109,3.812642,2.209457801386859e-48,5.523644503467147e-47,47.65571428864789,True
CLCN4,0.69948196,0.8362626,2.2563834040912875e-48,5.612894040028079e-47,47.646587103211,False
DBNDD1,1.6480674,1.8265214,5.155247742357598e-48,1.276051421375643e-46,47.28775045927406,True
RPL28P5,1.3418572,0.92692816,5.4638059928417327e-48,1.345765022867422e-46,47.26250472984888,True
PLOD3,1.1010346,4.6988554,6.801431970049456e-48,1.6670176397180039e-46,47.16739964152623,True
FER1L4,0.99421626,0.8500414,1.4255711262045357e-47,3.477002746840331e-46,46.84601110950321,False
FRMD5,0.66864884,0.7636003,2.1537474886594095e-47,5.227542448202451e-46,46.66680521594531,False
ATP11A,1.5705347,2.1556575,2.186167325048601e-47,5.280597403499036e-46,46.660316601048585,True
RAET1L,0.84126294,0.51072854,2.5353641654120075e-47,6.094625397625018e-46,46.595959652239856,False
SHROOM4,1.0355444,1.2656792,2.6533823806936576e-47,6.347804738501573e-46,46.576200159041896,True
ADRM1,1.1342201,4.905866,3.8917471743492693e-47,9.266064700831594e-46,46.40985538123809,True
CRIPTO,1.9089229,2.0229197,5.501021587888093e-47,1.3035596179829605e-45,46.25955665072697,True
RPS19P1,1.258353,0.99623764,5.64510846351124e-47,1.3313935055451037e-45,46.24832770924798,True
GTF2IRD1,1.8339642,2.7560928,9.249707298388457e-47,2.1712927930489337e-45,46.03387201003999,True
ENSG00000279806,1.4942594,1.2439679,1.0968731177204448e-46,2.5627876582253382e-45,45.9598436071207,True
FOLR1,1.1183244,0.81057364,1.2945357529520344e-46,3.01054826267915e-45,45.88788595056294,True
SLC26A3,-5.9948783,6.9102907,3.545450243041722e-46,8.207060747781763e-45,45.450328605148854,True
MFAP2,1.5074446,1.680432,3.806189710881772e-46,8.770022375303623e-45,45.41950956908741,True
GJB5,1.1690584,0.78406674,4.983219023533408e-46,1.1429401430122495e-44,45.30249002420331,True
UGGT2,0.88432753,1.6993823,5.727411652969434e-46,1.3076282312715602e-44,45.242041601208626,False
POLR2I,1.1188489,2.4288836,7.321611452807331e-46,1.664002602910757e-44,45.13539332221482,True
BOP1,1.6822164,4.204639,7.582853145635585e-46,1.7155776347591823e-44,45.12016735475558,True
FOXP4-AS1,1.218348,1.2003992,8.290412745484243e-46,1.8672100778117666e-44,45.08142384717904,True
PALM3,0.7463568,0.63492596,8.729910215365272e-46,1.9573789720549935e-44,45.05899022286624,False
CLDN2,4.0328484,2.6448812,1.3040562251408547e-45,2.9108397882608363e-44,44.884703683341826,True
FXYD5,1.9171307,4.354569,1.3881587278721557e-45,3.0847971730492347e-44,44.857560871995204,True
FABP1,-3.9003434,8.036369,1.979633561821865e-45,4.3797202695174e-44,44.70341519196409,True
NMU,1.345095,1.4801803,2.904753163620569e-45,6.398134721631209e-44,44.53689076662378,True
RPL8P3,1.2504691,1.0640538,3.292573637249178e-45,7.220556222037671e-44,44.48246450341451,True
EREG,1.7422678,1.8418168,4.2613488295827335e-45,9.304255086425182e-44,44.37045291344983,True
ZC3HAV1L,1.4654136,1.7674475,4.675297887920197e-45,1.0163691060696079e-43,44.330190712714796,True
SRPX2,1.5779217,1.525778,8.918759512204301e-45,1.930467426884048e-43,44.04969554634906,True
LY6G6C,0.7947921,0.6091756,9.646888311618421e-45,2.0790707568143148e-43,44.01561274955997,False
TMEM74B,0.81352687,0.55817133,1.1514996991252058e-44,2.47102939726439e-43,43.93873617117633,False
TXLNG,0.93527794,2.8218994,1.1877737212194263e-44,2.5379780367936458e-43,43.92526628745742,False
HES6,1.5845015,4.230687,1.475356296180501e-44,3.1390559493202152e-43,43.83110308559824,True
SNORD17,1.3670125,1.6055622,1.6433297650329804e-44,3.481630858120721e-43,43.7842752784616,True
DDX27,0.9905033,3.5665054,2.205792189064128e-44,4.653570019122633e-43,43.65643540549236,False
NUFIP1,0.9993931,1.8866355,2.6186341724700445e-44,5.501332295105135e-43,43.58192516899545,False
ZNF511,1.0976689,2.563517,2.8166028889156113e-44,5.8924746630033715e-43,43.55027437960628,True
ADH1C,-4.8050003,5.402406,4.1473650536152185e-44,8.640343861698371e-43,43.3822277360869,True
DACH1,1.3281505,2.009656,5.497114703061454e-44,1.1357675006325319e-42,43.259865200930044,True
SLC27A5,0.65244114,0.8068159,5.490665111439942e-44,1.1357675006325319e-42,43.26037504412325,False
VSNL1,1.8433809,2.0622737,6.080372390234369e-44,1.2511054300893764e-42,43.216069821702376,True
GUCA2A,-6.213599,6.5912004,7.70819765224457e-44,1.5795486992304446e-42,43.113047157771305,True
EVX1,0.897843,0.64663345,8.497413603457416e-44,1.7341660415219215e-42,43.07071324236508,False
COL9A3,1.1846547,1.3204839,8.643243640002795e-44,1.756756837398942e-42,43.06332324472092,True
CLCA1,-5.0921097,6.3018904,1.1599285063359198e-43,2.348033413635465e-42,42.93556877823917,True
EDAR,1.2403064,1.2765821,1.2451127838743136e-43,2.5103080320046644e-42,42.90479130784873,True
ENSG00000276855,-1.3928376,2.1619575,1.3717855831449945e-43,2.7545895243875392e-42,42.86271376569496,True
CTNNBL1,0.71079063,3.7768478,1.4667969121724905e-43,2.933593824344981e-42,42.8336300129655,False
FAP,1.034764,0.7412119,1.735184751474063e-43,3.4565433296296073e-42,42.760654277487504,True
PERP,1.230113,6.2236753,2.3601120188297832e-43,4.682761942122586e-42,42.62706738346841,True
ENSG00000262370,0.75987804,0.76996154,3.5748565773114794e-43,7.064933947255888e-42,42.446741377340295,False
CITED2,-1.623215,4.29709,4.6215184701753145e-43,9.097477303494714e-42,42.33521530694001,True
WDR72,1.0289686,0.83815014,5.466928255178754e-43,1.0719467167017165e-41,42.26225662550197,True
ANKRD13B,1.4978938,1.589508,5.785604790141582e-43,1.1300009355745277e-41,42.23765123597023,True
TSPAN7,-2.5335763,3.388061,6.5245285726237366e-43,1.2693635355299098e-41,42.18545086264173,True
ARFGAP1,1.0515268,3.8190484,7.187330019205841e-43,1.3928934145747753e-41,42.143432413271896,True
RPS6P25,0.95128995,0.9850066,1.1308447616666884e-42,2.1830979954955375e-41,41.94659700937946,False
PRSS33,1.0997007,0.7694696,1.5501840502716596e-42,2.9811231735993455e-41,41.809616735847705,True
RNF43,1.9594128,3.1233597,1.572001637399078e-42,3.011497389653406e-41,41.80354700593464,True
MORC4,1.108756,2.3154285,1.7721960828919963e-42,3.3820535933053364e-41,41.75148822770477,True
CCN4,1.263762,1.0557369,1.9791668604527054e-42,3.7626746396439266e-41,41.70351758956369,True
EIF2S3,1.0070839,5.9027185,2.3423364764986145e-42,4.436243326701921e-41,41.63035071840526,True
KAT2B,-1.3095256,2.3125534,2.979898040728846e-42,5.622449133450653e-41,41.52579859535541,True
SLC28A3,0.8349813,0.7800743,3.1619639295096015e-42,5.943541220882709e-41,41.50004308864299,False
BCAP31,0.7424836,6.4991837,4.053079623078526e-42,7.590036747338063e-41,41.39221486442412,False
RBL1,0.8991525,1.6938909,4.1433651737773405e-42,7.730158906301008e-41,41.382646788650185,False
MYADML2,0.63875175,0.45479798,5.783374486082868e-42,1.074976670275626e-40,41.237818685273155,False
CCNO,1.9713696,1.7834308,7.19773153982893e-42,1.3329132481164686e-40,41.14280435564715,True
GABRE,1.2360389,1.4145104,7.323913267704141e-42,1.3512755106465204e-40,41.135256807404275,True
MAOA,-2.1162524,5.329322,1.1990900183576418e-41,2.2042095925691944e-40,40.9211482122235,True
LDLRAD3,1.1812705,1.5080314,1.2230907435111773e-41,2.2400929368336578e-40,40.91254132060541,True
